WORD,CORPUS,FREQ
the,perl,346
perl,perl,243
the,python,229
python,python,194
of,perl,166
and,perl,160
a,perl,151
a,python,148
of,python,138
and,python,137
to,perl,135
in,python,123
is,python,121
is,perl,118
to,python,108
in,perl,94
for,python,86
as,python,71
that,perl,66
for,perl,64
are,perl,61
it,perl,55
that,python,53
it,python,51
language,perl,50
are,python,47
or,python,47
as,perl,45
be,python,44
an,python,40
be,perl,39
by,perl,39
on,perl,38
with,python,38
can,python,35
edit,perl,35
this,python,33
edit,python,32
has,perl,31
language,python,30
with,perl,29
code,python,28
list,perl,28
by,python,27
interpreter,perl,27
not,python,26
6,perl,25
p,perl,25
can,perl,24
modules,perl,24
regular,perl,24
was,perl,24
on,python,23
used,python,23
x,perl,23
if,python,22
its,perl,22
programming,python,22
this,perl,22
an,perl,21
c,python,21
from,python,21
not,perl,21
programming,perl,21
5,perl,20
also,python,20
code,perl,20
has,python,20
may,perl,20
such,python,20
x,python,20
at,perl,19
from,perl,19
use,perl,19
which,python,19
c,perl,18
have,python,18
one,python,18
other,python,18
list,python,17
return,python,17
types,python,17
but,python,16
expressions,perl,16
many,python,16
one,perl,16
or,perl,16
there,perl,16
use,python,16
was,python,16
which,perl,16
also,perl,15
cpan,perl,15
data,perl,15
expression,perl,15
many,perl,15
object,python,15
only,perl,15
other,perl,15
software,python,15
used,perl,15
all,python,14
been,perl,14
features,perl,14
function,python,14
languages,python,14
line,python,14
source,perl,14
but,perl,13
development,perl,13
elements,perl,13
have,perl,13
python's,python,13
statement,perl,13
strings,python,13
style,python,13
type,python,13
1,perl,12
1,python,12
classes,python,12
example,python,12
i,python,12
more,python,12
new,python,12
some,perl,12
syntax,perl,12
will,python,12
2,python,11
all,perl,11
cond,perl,11
different,perl,11
free,python,11
functions,python,11
guido,python,11
however,python,11
like,perl,11
modules,python,11
name,perl,11
number,perl,11
program,perl,11
program,python,11
programmers,python,11
programs,perl,11
returns,perl,11
set,python,11
subroutine,perl,11
such,perl,11
wall,perl,11
2,perl,10
acme,perl,10
another,perl,10
array,perl,10
available,perl,10
b,python,10
database,perl,10
expressions,python,10
line,perl,10
more,perl,10
os,python,10
standard,python,10
string,perl,10
string,python,10
structures,perl,10
these,perl,10
they,perl,10
uses,python,10
using,python,10
variables,perl,10
where,perl,10
4,perl,9
book,perl,9
called,perl,9
class,python,9
common,perl,9
community,perl,9
control,perl,9
first,python,9
hashes,perl,9
if,perl,9
into,perl,9
languages,perl,9
larry,perl,9
license,python,9
match,perl,9
module,perl,9
most,python,9
objects,python,9
only,python,9
operators,python,9
reference,python,9
run,perl,9
scalars,perl,9
single,perl,9
strings,perl,9
syntax,python,9
tasks,perl,9
than,python,9
unix,perl,9
write,perl,9
0,python,8
both,perl,8
collection,perl,8
collection,python,8
design,perl,8
distribution,perl,8
do,perl,8
docstrings,python,8
does,python,8
element,perl,8
even,python,8
first,perl,8
generator,python,8
indentation,python,8
its,python,8
large,perl,8
m,perl,8
n,python,8
object,perl,8
perl,python,8
see,python,8
since,python,8
so,python,8
sub,perl,8
systems,perl,8
there,python,8
time,perl,8
true,python,8
values,perl,8
web,perl,8
when,python,8
windows,perl,8
within,python,8
abc,perl,7
at,python,7
available,python,7
books,perl,7
camel,perl,7
def,python,7
expr,perl,7
factorial,python,7
foo,perl,7
just,perl,7
make,perl,7
may,python,7
new,perl,7
non,python,7
numbers,python,7
over,perl,7
programmers,perl,7
return,perl,7
rossum,python,7
support,python,7
supports,python,7
system,python,7
text,perl,7
they,python,7
two,python,7
value,perl,7
van,python,7
version,perl,7
version,python,7
well,python,7
were,perl,7
whitespace,python,7
written,perl,7
3000,python,6
accessed,perl,6
arrays,perl,6
block,python,6
book,python,6
character,perl,6
developers,python,6
don't,perl,6
elements,python,6
exceptions,python,6
expression,python,6
false,python,6
forms,python,6
friends,perl,6
functional,perl,6
however,perl,6
immutable,python,6
include,perl,6
included,python,6
including,perl,6
into,python,6
l,python,6
label,perl,6
learning,python,6
library,python,6
like,python,6
man,perl,6
map,perl,6
memory,perl,6
no,python,6
often,perl,6
people,perl,6
practical,perl,6
scalar,perl,6
see,perl,6
short,perl,6
software,perl,6
split,perl,6
support,perl,6
supported,python,6
than,perl,6
tutorial,python,6
under,perl,6
values,python,6
way,perl,6
when,perl,6
will,perl,6
work,perl,6
writing,perl,6
0,perl,5
3,perl,5
4,python,5
5,python,5
among,python,5
any,python,5
applications,perl,5
archive,perl,5
arguments,perl,5
attribute,python,5
block,perl,5
boolean,python,5
both,python,5
break,python,5
call,python,5
called,python,5
case,perl,5
comments,python,5
common,python,5
comparison,python,5
complete,perl,5
comprehension,python,5
computer,perl,5
context,perl,5
create,python,5
dictionary,python,5
do,python,5
documentation,perl,5
does,perl,5
eafp,python,5
easy,perl,5
efficient,perl,5
either,perl,5
example,perl,5
favorite,perl,5
feature,python,5
foo,python,5
form,python,5
foundation,python,5
functional,python,5
functions,perl,5
hash,perl,5
haskell,perl,5
hello,perl,5
how,python,5
implementation,perl,5
includes,perl,5
inheritance,python,5
instance,python,5
instead,python,5
integer,python,5
interfaces,perl,5
